text	label	text_tok	rus_entity	textID
"RT @vilnezheettya: Как Сбербанк России за шесть лет пробился в первую десятку украинских банков и что происходит с ним после революции
http…"	1	как сбербанк россии за шесть лет пробился в первую десятку украинских банков и что происходит с ним после революции http	сбербанк	2444
Проценты по кредитам сбербанк юридические лица http://t.co/wfrDV9BKjc	0	проценты по кредитам сбербанк юридические лица	сбербанк	2445
Кредит втб 24 в спб http://t.co/myiuKnNd4z	0	кредит втб 24 в спб	втб	2446
RT @bytevumaxite: ипотечный кредит от втб 24 http://t.co/FdridOrQvW	0	ипотечный кредит от втб 24	втб	2447
Кредитная карта льготный период банк москвы http://t.co/BhRh1UWRST	0	кредитная карта льготный период банкмосквы	банкмосквы	2448
RT @datukuhimuco: альфа банк кредитная карта	0	альфабанк банк кредитная карта	альфабанк	2449
Потребительский кредит альфа банк томск http://t.co/bFr7YFxcm0	0	потребительский кредит альфабанк банк томск	альфабанк	2450
Кредит на машины газпромбанк http://t.co/dMzunpT3ST	0	кредит на машины газпромбанк	газпромбанк	2451
Россельхозбанк в пензе кредит http://t.co/Ut413T24B4	0	россельхозбанк в пензе кредит	россельхозбанк	2452
Потребительский кредит сбербанк пермь http://t.co/sj5anlBv2n	0	потребительский кредит сбербанк пермь	сбербанк	2453
Всё о Кредитах Как может появиться минусовый баланс на карте сбербанк моментум? http://t.co/RgxSF3uVtw	0	все о кредитах как может появиться минусовый баланс на карте сбербанк моментум ?	сбербанк	2454
RT @nudufosubix: сбербанк россии	0	сбербанк россии	сбербанк	2455
Выдача кредитов втб 24 http://t.co/s3gXk2eMdR	0	выдача кредитов втб 24	втб	2456
Автокредит в альфа банке отзывы http://t.co/j8oqDu7Jtr	0	автокредит в альфабанк банке отзывы	альфабанк	2457
Проценты по кредиту в альфа банке http://t.co/NoVE3jhHle	0	проценты по кредиту в альфабанк банке	альфабанк	2458
Потребительский кредит нижний новгород сбербанк россии http://t.co/FAck9bdpIA	0	потребительский кредит нижний новгород сбербанк россии	сбербанк	2459
Автокредиты втб 24 пермь http://t.co/7hTcjlIRFh	0	автокредиты втб 24 пермь	втб	2460
Ипотечный кредит на квартиру сбербанк спб http://t.co/TKsX1EMCfT	0	ипотечный кредит на квартиру сбербанк спб	сбербанк	2461
Заявка на автокредит сбербанк санкт петербург http://t.co/04PVHNR7h3	0	заявка на автокредит сбербанк санкт петербург	сбербанк	2462
калининский район новосибирск сбербанк http://t.co/wcYA5u3gnK	0	калининский район новосибирск сбербанк	сбербанк	2463
RT @gilafosyroci: альфа банк ростов на дону потребительский кредит калькулятор	0	альфабанк банк ростов на дону потребительский кредит калькулятор	альфабанк	2464
Потребительский кредит сбербанк чебоксары http://t.co/ekNCI0wlwH	0	потребительский кредит сбербанк чебоксары	сбербанк	2465
http://t.co/EbkvUzfqt9 банк втб проценты по кредиту	0	банк втб проценты по кредиту	втб	2466
Как взять кредит россельхозбанке на корову http://t.co/Q7nRgaZFDC	0	как взять кредит россельхозбанк на корову	россельхозбанк	2467
Отсрочка по кредиту беременность сбербанк http://t.co/0sswvmT89x	0	отсрочка по кредиту беременность сбербанк	сбербанк	2468
Кредитная карта альфа банка правила пользования http://t.co/uK571D5Gxl	0	кредитная карта альфабанк банка правила пользования	альфабанк	2469
RT @wuvagohazes: банк втб 24 кредиты в кирове http://t.co/TLMSJHQGkq	0	банк втб 24 кредиты в кирове	втб	2470
Кредитная карта виза банк втб 24 http://t.co/AULDVjASwq	0	кредитная карта виза банк втб 24	втб	2471
Банк москвы оформление кредитов http://t.co/NZMWtOwtVA	0	банкмосквы оформление кредитов	банкмосквы	2472
Банк москвы тюмень кредитный http://t.co/dXwa3NEPZr	0	банкмосквы тюмень кредитный	банкмосквы	2473
горячая линия альфа банка	0	горячая линия альфабанк банка	альфабанк	2474
как продлить кредитную карту сбербанка http://t.co/qvTVPdhho5	0	как продлить кредитную карту сбербанк	сбербанк	2475
RT @jehijaranupo: дадут ли мне кредит в втб 24 ярославль http://t.co/NZWMwib2sQ	0	дадут ли мне кредит в втб 24 ярославль	втб	2476
Потребительский кредит сбербанк казань http://t.co/wroiIEvkd9	0	потребительский кредит сбербанк казань	сбербанк	2477
Wiener Boerse решила оставить ВТБ и Сбербанк в своих индексах	1	wiener boerse решила оставить втб и сбербанк в своих индексах	втб	2478
Кредит на покупку недвижимости сбербанк http://t.co/hk8H86Hqrg	0	кредит на покупку недвижимости сбербанк	сбербанк	2479
Как пользоваться кредитной картой visa сбербанк http://t.co/4r5RcioeVm	0	как пользоваться кредитной картой visa сбербанк	сбербанк	2480
@sberbank Оплатила 11.08.14 через моб.банк налог физлица по реквизитам за члена семьи. Если прошло 2 дня, можно ли отозвать платеж,он еще не	0	сбербанк оплатила 11.08.14 через моб . банк налог физлица по реквизитам за члена семьи . если прошло 2 дня , можно ли отозвать платеж , он еще не	сбербанк	2481
@sberbank зачислен. На сайте Сбербанка по отзыву платежей если возникла  необходимость у клиента  - информации нет.  Заранее спасибо	0	сбербанк зачислен . на сайте сбербанк по отзыву платежей если возникла необходимость у клиента - информации нет . заранее спасибо	сбербанк	2482
RT @BosayaKrysa: список аккредитованных оценщиков сбербанка http://t.co/PiyvMDUoOI	0	список аккредитованных оценщиков сбербанк	сбербанк	2483
кредит в сбербанке лпх http://t.co/5oBqp3xhAI	0	кредит в сбербанк лпх	сбербанк	2484
RT @olgakissM: оценка для сбербанка http://t.co/AO6unpL5au	0	оценка для сбербанк	сбербанк	2485
RT @TsOlOmInA: разобралась со Сбербанком, бегу в маминых сапожках на вокзал за билетами :)	0	разобралась со сбербанк , бегу в маминых сапожках на вокзал за билетами :)	сбербанк	2486
рассчитать жилищный кредит в сбербанке http://t.co/x5KVegETd6	0	рассчитать жилищный кредит в сбербанк	сбербанк	2487
"Сбербанк продолжает проводить ""Ипотечные субботы"""	0	сбербанк продолжает проводить ипотечные субботы	сбербанк	2488
рассчитать проценты по кредиту сбербанк http://t.co/Ygx3HZsuMF	0	рассчитать проценты по кредиту сбербанк	сбербанк	2489
какие кредиты есть в сбербанке http://t.co/LMUDg1tieA	0	какие кредиты есть в сбербанк	сбербанк	2490
Сбербанк поздравил с Новым годом Бурмакинскую школу интернат	0	сбербанк поздравил с новым годом бурмакинскую школу интернат	сбербанк	2491
сбербанк информация по кредитам http://t.co/y9ZWeT3CGD	0	сбербанк информация по кредитам	сбербанк	2492
кредит на карту в сбербанке http://t.co/yuf8AUTyZl	0	кредит на карту в сбербанк	сбербанк	2493
карта сбербанка виза кредит http://t.co/7JCyeRgAdq	0	карта сбербанк виза кредит	сбербанк	2494
Wiener Boerse решила оставить ВТБ и Сбербанк в своих индексах	1	wiener boerse решила оставить втб и сбербанк в своих индексах	сбербанк	2495
Санкции против Россельхозбанка (РСХБ) создали недобросовестную конкуренцию на продовольственном рынке России, вызвав ответные меры страны п	-1	санкции против россельхозбанк россельхозбанк ) создали недобросовестную конкуренцию на продовольственном рынке россии , вызвав ответные меры страны п	россельхозбанк	2496
Банк москвы ярославль автокредит http://t.co/p5iedsir67	0	банкмосквы ярославль автокредит	банкмосквы	2497
Потребительский кредит калькулятор банк втб http://t.co/06N71Onewx	0	потребительский кредит калькулятор банк втб	втб	2498
Кредитная карта втб 24 в казани http://t.co/IrKvhItqBm	0	кредитная карта втб 24 в казани	втб	2499
RT @1apysy_: http://t.co/yNwUpkfKWA Qiwi Сбербанк Выходцы из Techland просят деньги на вестерн в духе X-COM и HoMM	0	qiwi сбербанк выходцы из techland просят деньги на вестерн в духе x-com и homm	сбербанк	2500
http://t.co/h6HgKKiFBs втб 24 кредиты наличными самара	0	втб 24 кредиты наличными самара	втб	2501
Машина в кредит через сбербанк http://t.co/EnxKaxSyMc	0	машина в кредит через сбербанк	сбербанк	2502
Потребительский кредит в райффайзенбанке http://t.co/sOL5ZHTCio	0	потребительский кредит в райффайзенбанк	райффайзенбанк	2503
http://t.co/xtRdBqDxNG кредит наличными в втб 24 новосибирск	0	кредит наличными в втб 24 новосибирск	втб	2504
Купить автомобиль в кредит сбер банка http://t.co/ZBXkBJpX2j	0	купить автомобиль в кредит сбербанк банка	сбербанк	2505
Как получить отсрочку по кредиту сбербанк http://t.co/Gs82eQ7tpH	0	как получить отсрочку по кредиту сбербанк	сбербанк	2506
Банк втб 24 автокредиты http://t.co/phhQiME757	0	банк втб 24 автокредиты	втб	2507
Калькулятор по кредитам сбербанк http://t.co/VOogstMvY0	0	калькулятор по кредитам сбербанк	сбербанк	2508
Анкета по кредиту сбербанк россии http://t.co/zIqiWIYbSd	0	анкета по кредиту сбербанк россии	сбербанк	2509
Кредитный калькулятор по ипотеке втб 24 http://t.co/ENEqnkgbGw	0	кредитный калькулятор по ипотеке втб 24	втб	2510
Орск сбербанк потребительский кредит http://t.co/ER6XYXdM6h	0	орск сбербанк потребительский кредит	сбербанк	2511
RT @wosemymexaxy: взять кредит наличными в втб 24 калькулятор http://t.co/HAPm6ECb9G	0	взять кредит наличными в втб 24 калькулятор	втб	2512
http://t.co/epYeZ6zLh9 автокредитование альфа банка	0	автокредитование альфабанк банка	альфабанк	2513
Ставки кредитования сбербанк россии http://t.co/fgQfLyHbdz	0	ставки кредитования сбербанк россии	сбербанк	2514
Кредит в райфайзене в самаре http://t.co/QKr0e3mxSa	0	кредит в райффайзенбанк в самаре	райффайзенбанк	2515
Россельхозбанк кредит на сельское хозяйство http://t.co/E0B3OFjVJy	0	россельхозбанк кредит на сельское хозяйство	россельхозбанк	2516
сбербанк рф кредиты http://t.co/bYSFfy1i9k	0	сбербанк рф кредиты	сбербанк	2517
ставка потребительского кредита в сбербанке http://t.co/cRdluRwktY	0	ставка потребительского кредита в сбербанк	сбербанк	2518
сбербанк новосибирск заявка на кредит http://t.co/T9gVP7hltd	0	сбербанк новосибирск заявка на кредит	сбербанк	2519
сбербанк официальный сайт кредиты калькулятор http://t.co/FwolNd90j0	0	сбербанк официальный сайт кредиты калькулятор	сбербанк	2520
сбербанк переоформление кредита http://t.co/hOngGQHehz	0	сбербанк переоформление кредита	сбербанк	2521
сбербанк ангарск кредиты http://t.co/BpwElVV8Vb	0	сбербанк ангарск кредиты	сбербанк	2522
как рефинансировать кредит в сбербанке http://t.co/bMLPuCShyj	0	как рефинансировать кредит в сбербанк	сбербанк	2523
сбербанк великий новгород кредит http://t.co/MNI0ifUgkP	0	сбербанк великий новгород кредит	сбербанк	2524
Ипотечная суббота со Сбербанком	0	ипотечная суббота со сбербанк	сбербанк	2525
справка 2 ндфл сбербанк http://t.co/TsOGft5F4R #ндфл #справка	0	справка 2 ндфл сбербанк	сбербанк	2526
платеж по кредиту сбербанк http://t.co/uEvdBpq36f	0	платеж по кредиту сбербанк	сбербанк	2527
как установить vpn-key-tls драйвер сбербанк http://t.co/FSv8kGVmCa	0	как установить vpn-key-tls драйвер сбербанк	сбербанк	2528
Дальневосточный Сбербанк предлагает клиентам удобную оплату услуг детских садов через сервис интернет-банкинга	1	дальневосточный сбербанк предлагает клиентам удобную оплату услуг детских садов через сервис интернет-банкинга	сбербанк	2529
электронная очередь не работает, персонал-хамло, сумасшедшие старухи тлкающие все вокруг -сервис от сбербанка!	-1	электронная очередь не работает , персонал-хамло , сумасшедшие старухи тлкающие все вокруг -сервис от сбербанк !	сбербанк	2530
потребительский кредит для ип сбербанк http://t.co/N8BP8OC702	0	потребительский кредит для ип сбербанк	сбербанк	2531
каменск уральский сбербанк кредиты http://t.co/YGmiCuD4jh	0	каменск уральский сбербанк кредиты	сбербанк	2532
RT @vuhulolemuxe: Время 9.14, а сбербанк забит людьми. Хорошее начало дня.	-1	время 9.14 , а сбербанк забит людьми . хорошее начало дня .	сбербанк	2533
Сбербанк России подвел итоги акции по потребительским кредитам http://t.co/yCqnc8gYUY	0	сбербанк россии подвел итоги акции по потребительским кредитам	сбербанк	2534
Сбербанк России подвел итоги акции по потребительским кредитам http://t.co/kBfQZWVosN	0	сбербанк россии подвел итоги акции по потребительским кредитам	сбербанк	2535
кредиты в рязани сбербанк http://t.co/cpSpQiKFYc	0	кредиты в рязани сбербанк	сбербанк	2536
кредит 30000 в сбербанке http://t.co/mh94haRZyc	0	кредит 30000 в сбербанк	сбербанк	2537
Грабители на УАЗе выдернули банкоматы из столичного отделения Сбербанка	-1	грабители на уазе выдернули банкоматы из столичного отделения сбербанк	сбербанк	2538
кредит на лечение в сбербанке http://t.co/eT4PwPPZhM	0	кредит на лечение в сбербанк	сбербанк	2539
Рекламная кампания Сбербанка признана креативом года: Сбербанк удостоен премии Retail Finance Awards в номинац... http://t.co/7CxWtPcUjW	1	рекламная кампания сбербанк признана креативом года : сбербанк удостоен премии retail finance awards в номинац ...	сбербанк	2540
сбербанк оформление кредита через интернет http://t.co/EL7Zz2cOzX	0	сбербанк оформление кредита через интернет	сбербанк	2541
кредит в валюте сбербанк http://t.co/Ac1NmvUMrA	0	кредит в валюте сбербанк	сбербанк	2542
Уважаемый клиент, в целях сохранности средств карта была заблокирована по подозрению в компрометации. Ваш Сбербанк.. Порадовал @sberbank	0	уважаемый клиент , в целях сохранности средств карта была заблокирована по подозрению в компрометации . ваш сбербанк .. порадовал сбербанк	сбербанк	2543
решение сбербанка о выдаче кредита http://t.co/PN6BFWH1Fe	0	решение сбербанк о выдаче кредита	сбербанк	2544
кредиты юр лицам сбербанк http://t.co/4XWY66sJ9o	0	кредиты юр лицам сбербанк	сбербанк	2545
оформить кредитную карту сбербанка http://t.co/B4XCJLuwKf	0	оформить кредитную карту сбербанк	сбербанк	2546
ипотечный кредит казань сбербанк http://t.co/xzQeV5I80M	0	ипотечный кредит казань сбербанк	сбербанк	2547
кредиты в сбербанк екатеринбурге http://t.co/FNNQVl5XZ6	0	кредиты в сбербанк екатеринбурге	сбербанк	2548
платеж по кредиту сбербанк http://t.co/dtpRtqoWDU	0	платеж по кредиту сбербанк	сбербанк	2549
рассчитать жилищный кредит в сбербанке http://t.co/Wbygbs40JG	0	рассчитать жилищный кредит в сбербанк	сбербанк	2550
условия кредита в сбербанке россии http://t.co/t37TZNyTNG	0	условия кредита в сбербанк россии	сбербанк	2551
где оформить кредит в сбербанке http://t.co/H9eW2hx4Lu	0	где оформить кредит в сбербанк	сбербанк	2552
сбербанк россии страхование кредита http://t.co/9zCG0whV4l	0	сбербанк россии страхование кредита	сбербанк	2553
кредит на отпуск в сбербанке http://t.co/ZyUoxWq4t3	0	кредит на отпуск в сбербанк	сбербанк	2554
договор эквайринга сбербанк.doc http://t.co/Emk8q67Nf1	0	договор эквайринга сбербанк . doc	сбербанк	2555
http://t.co/GEsYuke3Dt скачать образец претензии в сбербанке	0	скачать образец претензии в сбербанк	сбербанк	2556
помощь в получении кредита в сбербанке http://t.co/5Pl2scPExJ	0	помощь в получении кредита в сбербанк	сбербанк	2557
сбербанк юрист должностная инструкция http://t.co/Ci6QyfAEcc #юрист #инструкция	0	сбербанк юрист должностная инструкция	сбербанк	2558
сельхоз кредит в сбербанке http://t.co/OYdSTI1PR9	0	сельхоз кредит в сбербанк	сбербанк	2559
Сбербанк Челябинск http://t.co/zzxuQFkPQf	0	сбербанк челябинск	сбербанк	2560
кредит в сбербанке энгельс http://t.co/40l8avzKFs	0	кредит в сбербанк энгельс	сбербанк	2561
сбербанк москва кредит http://t.co/JEixPLI6Kc	0	сбербанк москва кредит	сбербанк	2562
как работает кредитная карта сбербанка http://t.co/rntSuzm4zY	0	как работает кредитная карта сбербанк	сбербанк	2563
кредит в сбербанке воронеж http://t.co/oiLqPhrm8I	0	кредит в сбербанк воронеж	сбербанк	2564
потребительские кредиты в тюмени сбербанк http://t.co/wGEY1IyamJ	0	потребительские кредиты в тюмени сбербанк	сбербанк	2565
как пользоваться кредитной картой сбербанка http://t.co/FbThGZjuAV	0	как пользоваться кредитной картой сбербанк	сбербанк	2566
@MarinaIrk пополнение баланса без комиссии возможно через терминалы и банкоматы Сбербанка и в наших офисах.	0	пополнение баланса без комиссии возможно через терминалы и банкоматы сбербанк и в наших офисах .	сбербанк	2567
кредиты для предпринимателей в сбербанке http://t.co/XSYV0s2Tbl	0	кредиты для предпринимателей в сбербанк	сбербанк	2568
узнать платеж по кредиту сбербанк http://t.co/Qssg6lAwxh	0	узнать платеж по кредиту сбербанк	сбербанк	2569
"@sberbank 
Господа как задать вопрос Сбербанку?"	0	сбербанк господа как задать вопрос сбербанк ?	сбербанк	2570
кредит в сбербанке воронеж http://t.co/Bd6GsgSZDQ	0	кредит в сбербанк воронеж	сбербанк	2571
Рекламная кампания Сбербанка признана креативом года http://t.co/EkebOUdD2B	1	рекламная кампания сбербанк признана креативом года	сбербанк	2572
В Москве придя в Сбербанк сразу подумываешь, что начался митинг!	-1	в москве придя в сбербанк сразу подумываешь , что начался митинг !	сбербанк	2573
кредиты для военнослужащих в сбербанке http://t.co/ohRWkpToix	0	кредиты для военнослужащих в сбербанк	сбербанк	2574
Null счет от Сбербанка, безлимит на все операции. Успей оформить до Нового Года. http://t.co/9JZZA9lfT9	0	null счет от сбербанк , безлимит на все операции . успей оформить до нового года .	сбербанк	2575
кредит на ремонт в сбербанке http://t.co/joszBjYVQs	0	кредит на ремонт в сбербанк	сбербанк	2576
сбербанк ипотечные кредиты физическим лицам http://t.co/UZ8ZCmhvRQ	0	сбербанк ипотечные кредиты физическим лицам	сбербанк	2577
выдача кредита в сбербанке http://t.co/kSKbr8K2La	0	выдача кредита в сбербанк	сбербанк	2578
кредиты в челябинске сбербанк http://t.co/AGUrRP4ioC	0	кредиты в челябинске сбербанк	сбербанк	2579
Как оплатить кредитную карту сбербанка | Кредиты - Как оплатить кредитную: Как оплатить кредитную карту сберба... http://t.co/miq89umZmG	0	как оплатить кредитную карту сбербанк кредиты - как оплатить кредитную : как оплатить кредитную карту сбербанк ...	сбербанк	2580
как проверить счет сберкнижки сбербанка онлайн http://t.co/J9vwZ6647d	0	как проверить счет сбербанк сбербанк онлайн	сбербанк	2581
условия использования кредитной карты сбербанка http://t.co/lChFO7KQ07	0	условия использования кредитной карты сбербанк	сбербанк	2582
Рекламная кампания Сбербанка признана креативом года	1	рекламная кампания сбербанк признана креативом года	сбербанк	2583
вторая кредитная карта сбербанка http://t.co/KiSr1XIAlE	0	вторая кредитная карта сбербанк	сбербанк	2584
должностная инструкция сбербанка http://t.co/nxrwI4CMAC #сбербанка #должностная	0	должностная инструкция сбербанк сбербанк	сбербанк	2585
кредитная карта сбербанка виза http://t.co/bkC1FistcG	0	кредитная карта сбербанк виза	сбербанк	2586
Бесит меня бюро пропусков в сбербанке!!!!	-1	бесит меня бюро пропусков в сбербанк !!!!	сбербанк	2587
оплатить кредит сбербанка через интернет http://t.co/kDDqXK0jUJ	0	оплатить кредит сбербанк через интернет	сбербанк	2588
кредит по временной регистрации сбербанк http://t.co/vzqkeNtxDI	0	кредит по временной регистрации сбербанк	сбербанк	2589
Сибирский Сбербанк отмечает всплеск ипотеки http://t.co/Y9CUKci6i3 #сбербанк #ипотека #банки	0	сибирский сбербанк отмечает всплеск ипотеки сбербанк	сбербанк	2590
http://t.co/F5KNsHGosU платежки с отметкой сбербанкабанка	0	платежки с отметкой сбербанк	сбербанк	2591
Вы своих клиентов специально доводите до состояния высеров в твиттере или это у вас так случайно система сбоит? @yandex @sberbank	-1	вы своих клиентов специально доводите до состояния высеров в твиттере или это у вас так случайно система сбоит ? сбербанк	сбербанк	2592
расчет кредита сбербанк http://t.co/bzMveplE4W	0	расчет кредита сбербанк	сбербанк	2593
кредит сбербанка держателю карты http://t.co/0Dbimw9DaU	0	кредит сбербанк держателю карты	сбербанк	2594
#спасибо от сбербанка, у меня огромная скидка на озоне и #DiabloIII у меня в кармане! Срок доставки практически в новогоднюю ночь :D	1	от сбербанк , у меня огромная скидка на озоне и у меня в кармане ! срок доставки практически в новогоднюю ночь : d	сбербанк	2595
Чистая прибыль Сбербанка по РСБУ в январе-июле увеличилась на 3,7% в годовом выражении до 220,3 млрд руб. против 212,4 млрд руб. в январе…	1	чистая прибыль сбербанк по рсбу в январе-июле увеличилась на 3,7 в годовом выражении до 220,3 млрд руб . против 212,4 млрд руб . в январе	сбербанк	2596
сбербанк отправить заявку на кредит http://t.co/eCdrqtcp1s	0	сбербанк отправить заявку на кредит	сбербанк	2597
сбербанк онлайн тольятти кредит http://t.co/cEAK4lIpAb	0	сбербанк онлайн тольятти кредит	сбербанк	2598
сбербанк старый оскол кредиты http://t.co/4wWWQhZ2VD	0	сбербанк старый оскол кредиты	сбербанк	2599
там такие дикие очереди на 535, я ахуела! Причем у звезды, у сбербанка и у 25! Огромные! Просто зло день(	-1	там такие дикие очереди на 535 , я ахуела ! причем у звезды , у сбербанк и у 25 ! огромные ! просто зло день (	сбербанк	2600
сбербанк кредит 100 000 http://t.co/c5wIZQetvC	0	сбербанк кредит 100 000	сбербанк	2601
сбербанк процент по ипотечному кредиту http://t.co/NyARmy7ffb	0	сбербанк процент по ипотечному кредиту	сбербанк	2602
сбербанк какие проценты по кредиту http://t.co/FBCKY8p3CU	0	сбербанк какие проценты по кредиту	сбербанк	2603
Кто где, а я вместо обеда в @sberbank центре сопровождения клиентских операций)) Ипотека закрыта!!!!!!!! http://t.co/I4T7dOEtcm	-1	кто где , а я вместо обеда в сбербанк центре сопровождения клиентских операций ) ) ипотека закрыта !!!!!!!!	сбербанк	2604
кредит с временной пропиской сбербанк http://t.co/VpEX20BvR5	0	кредит с временной пропиской сбербанк	сбербанк	2605
#сбербанк Сижу в очереди уже 2 часа и это отделение в центре Москвы на, газетном. Что же в регионах? http://t.co/sRhJDa5y0Y	-1	сбербанк сижу в очереди уже 2 часа и это отделение в центре москвы на , газетном . что же в регионах ?	сбербанк	2606
кредитная карта gold сбербанка http://t.co/fO1T5x1ZrW	0	кредитная карта gold сбербанк	сбербанк	2607
как закрыть кредит в сбербанке http://t.co/nWCmY2iTUx	0	как закрыть кредит в сбербанк	сбербанк	2608
узнать задолженность по кредиту сбербанк http://t.co/wWTra9ekDN	0	узнать задолженность по кредиту сбербанк	сбербанк	2609
оплатить кредит через карту сбербанка http://t.co/oj0OY3Li96	0	оплатить кредит через карту сбербанк	сбербанк	2610
сбербанк кредит телефон горячей линии http://t.co/9uOgSIsEUY	0	сбербанк кредит телефон горячей линии	сбербанк	2611
кредит для бизнеса сбербанк http://t.co/vvwHCWiWns	0	кредит для бизнеса сбербанк	сбербанк	2612
сбербанк онлайн расчет кредита http://t.co/sYbscvWL1U	0	сбербанк онлайн расчет кредита	сбербанк	2613
состояние заявки на кредит сбербанк http://t.co/GT9GrJFOwx	0	состояние заявки на кредит сбербанк	сбербанк	2614
кредит на отдых в сбербанке http://t.co/f2SIsWQldp	0	кредит на отдых в сбербанк	сбербанк	2615
@sberbank Дома	0	сбербанк дома	сбербанк	2616
В столице произошло дерзкое ограбление Сбербанка http://t.co/I7AuhoR4B8	-1	в столице произошло дерзкое ограбление сбербанк	сбербанк	2617
ФНС и Сбербанк разработали новые формы № ПД (налог) и № ПД-4сб (налог)... http://t.co/ZoeTleQgbt	0	фнс и сбербанк разработали новые формы пд ( налог ) и пд-4 сб ( налог ) ...	сбербанк	2618
RT @ZhilinIvan: Сбербанку просто стыдно должно быть за такой сайт!!!!!!!	-1	сбербанк просто стыдно должно быть за такой сайт !!!!!!!	сбербанк	2619
как оплачивать кредитную карту сбербанка http://t.co/nHQOgfRfzY	0	как оплачивать кредитную карту сбербанк	сбербанк	2620
RT @Kreutzwald: Минут сорок поварился в аду совка за ебаное ничего. Милый Сбербанк, охуевшая же ты мразь.	-1	минут сорок поварился в аду совка за ебаное ничего . милый сбербанк , охуевшая же ты мразь .	сбербанк	2621
сбербанк кредиты частным лицам http://t.co/gN60D0JPjd	0	сбербанк кредиты частным лицам	сбербанк	2622
сбербанк навязывает кредитную карту http://t.co/JbjdyCd6id	-1	сбербанк навязывает кредитную карту	сбербанк	2623
как разблокировать кредитную карту сбербанка http://t.co/KHxtlYIuSL	0	как разблокировать кредитную карту сбербанк	сбербанк	2624
кредит от 18 лет сбербанк http://t.co/fCFDJVabfw	0	кредит от 18 лет сбербанк	сбербанк	2625
сбербанк пакет документов для кредита http://t.co/15JH1xcwer	0	сбербанк пакет документов для кредита	сбербанк	2626
Сбербанк начал выплаты возмещений вкладчикам Волжского Социального Банка http://t.co/EeloxLwW2L	1	сбербанк начал выплаты возмещений вкладчикам волжского социального банка	сбербанк	2627
visa сбербанк кредит http://t.co/41zvs73ci4	0	visa сбербанк кредит	сбербанк	2628
Инструкция сбербанка по пользованию банкоматом:  Инструкция сбербанка по пользованию банкоматом http://t.co/vHjYh4Wkkv	0	инструкция сбербанк по пользованию банкоматом : инструкция сбербанк по пользованию банкоматом	сбербанк	2629
RT @SerovaElena: разобралась со Сбербанком, бегу в маминых сапожках на вокзал за билетами :)	0	разобралась со сбербанк , бегу в маминых сапожках на вокзал за билетами :)	сбербанк	2630
кредит в сбербанке под залог http://t.co/G4c5KfMi81	0	кредит в сбербанк под залог	сбербанк	2631
сбербанк екатеринбург кредитные карты http://t.co/rtsp3tUIPq	0	сбербанк екатеринбург кредитные карты	сбербанк	2632
"""Если будет большой спрос на виртуальную валюту, то не исключено, что Сбербанк будет двигаться в этом направлении,"" — Герман Греф #bitcoin"	0	если будет большой спрос на виртуальную валюту , то не исключено , что сбербанк будет двигаться в этом направлении , герман греф	сбербанк	2633
виды кредитных карт сбербанка http://t.co/4rUUOiLsHj	0	виды кредитных карт сбербанк	сбербанк	2634
возможности кредитной карты сбербанка http://t.co/aLLGMUTxX5	0	возможности кредитной карты сбербанк	сбербанк	2635
сбербанк россии проценты по кредитам http://t.co/88Gvknvfnc	0	сбербанк россии проценты по кредитам	сбербанк	2636
заявление о розыске возврате перечислении платежа сбербанк скачать http://t.co/wHsynLBkto	0	заявление о розыске возврате перечислении платежа сбербанк скачать	сбербанк	2637
ипотечный кредит на строительство сбербанк http://t.co/hYvUbdXn1Y	0	ипотечный кредит на строительство сбербанк	сбербанк	2638
кредитная пластиковая карта сбербанка http://t.co/elKlove7Lc	0	кредитная пластиковая карта сбербанк	сбербанк	2639
кредит доверие в сбербанке http://t.co/qU72LsIhJa	0	кредит доверие в сбербанк	сбербанк	2640
кредит в сбербанке выгодный http://t.co/a7j1FRejFt	0	кредит в сбербанк выгодный	сбербанк	2641
какая кредитная карта сбербанка лучше http://t.co/r4FOQ5STcY	0	какая кредитная карта сбербанк лучше	сбербанк	2642
сбербанк онлайн личный кабинет кредит http://t.co/gT0TjCM1rM	0	сбербанк онлайн личный кабинет кредит	сбербанк	2643
кредит в сбербанке лпх http://t.co/Pd4Sv087Hg	0	кредит в сбербанк лпх	сбербанк	2644
кредит на обучение в сбербанке http://t.co/2bIhrBlBMo	0	кредит на обучение в сбербанк	сбербанк	2645
договор по кредитной карте сбербанка http://t.co/lL1vSRZ6Vk	0	договор по кредитной карте сбербанк	сбербанк	2646
сбербанк дать заявку на кредит http://t.co/mEsXnTUk3g	0	сбербанк дать заявку на кредит	сбербанк	2647
если одобрили кредит в сбербанке http://t.co/C0ysKjpiYB	0	если одобрили кредит в сбербанк	сбербанк	2648
Бизнес Сбербанка, очевидно, связан с глобальными стартапами через золотую акцию Яндекса...	0	бизнес сбербанк , очевидно , связан с глобальными стартапами через золотую акцию яндекса ...	сбербанк	2649
"Сбербанк запустил конкурс видео для  Гимна болельщиков ""Сочи 2014"" #news"	0	сбербанк запустил конкурс видео для гимна болельщиков сочи 2014	сбербанк	2650
какие кредиты предоставляет сбербанк http://t.co/7QLlKAI4Tt	0	какие кредиты предоставляет сбербанк	сбербанк	2651
справка о закрытии кредита сбербанк http://t.co/p1ykyF0h6x	0	справка о закрытии кредита сбербанк	сбербанк	2652
кредит на потребительские нужды сбербанк http://t.co/j1aTe85FPn	0	кредит на потребительские нужды сбербанк	сбербанк	2653
