text	label	rus_entity	text_tok	textID
@iFORA, если у Вас другой тарифный план, тогда отправьте SMS с кодом 9999 на 5838. ^РА #МТС	0	мтс	если у вас другой тарифный план , тогда отправьте sms с кодом 9999 на 5838 . ра мтс	931
"СРАНЫЙ СРАНЫЙ БИЛАЙНГОРИ В АДУ СО СВОИМ САЙТОМ
АААААААААААААААААААААААААААААААА
ЧЕРТЧЕРТЧЕРТ"	-1	билайн	сраный сраный билайн в аду со своим сайтом аааааааааааааааааааааааааааааааа чертчертчерт	932
@awsmebeard Уточните нашим коллегам @MegaFon_CF_Help адрес, по которому возникают сложности (улица, дом). Проверим.	0	мегафон	уточните нашим коллегам мегафон адрес , по которому возникают сложности ( улица , дом ) . проверим .	933
мегафон сообщает о запуске опции новогоднее ассорти которая обеспечит абонентам выгодные условия общения в течение будущего года	1	мегафон	мегафон сообщает о запуске опции новогоднее ассорти которая обеспечит абонентам выгодные условия общения в течение будущего года	934
"RT @Rostelecom_NW: #Калининград - прекрасный город, как же его не любить;) Вот самое западное #сердцегорода! 
#Ростелеком #sputnikru http:/…"	0	ростелеком	ростелеком : - прекрасный город , как же его не любить ) вот самое западное ростелеком	935
"Вы еще не воспользовались нашей новой
услугой, а мы уже сняли с вас деньги.
МТС: на шаг впереди!"	-1	мтс	вы еще не воспользовались нашей новой услугой , а мы уже сняли с вас деньги . мтс : на шаг впереди !	936
"@_Beeline_kz ""легкий роуминг плюс"""	0	билайн	билайн легкий роуминг плюс	937
"""Норникель"" и ""Мегафон"" выбирают гонконгский доллар"	0	мегафон	норникель и мегафон выбирают гонконгский доллар	938
@megafonru Здравствуйте! Не могли бы вы подсказать, почему в городе Муроме Владимирской области очень низкая скорость мобильного интернета?	-1	мегафон	мегафон здравствуйте ! не могли бы вы подсказать , почему в городе муроме владимирской области очень низкая скорость мобильного интернета ?	939
МТС развернула сеть 4G в Нижегородской области http://t.co/ThGT21JWFd	1	мтс	мтс развернула сеть 4 g в нижегородской области	940
"@ru_mts Меня удивляет, почему до вас можно ""достучаться"" в твиторе, но нельзя звонками, письма и тд."	-1	мтс	мтс меня удивляет , почему до вас можно достучаться в твиторе , но нельзя звонками , письма и тд .	941
"@MatYadrena Вопрос по услуге ""ММС-безлимит"" сейчас на контроле, ждем ответа от инженеров. Обязательно свяжемся с Вами дополнительно. #билайн"	0	билайн	вопрос по услуге ммс-безлимит сейчас на контроле , ждем ответа от инженеров . обязательно свяжемся с вами дополнительно . билайн	942
"кто мне пишет смс
мой любимый мтс

не баян а классика
#MTHottest  30 Seconds to Mars"	0	мтс	кто мне пишет смс мой любимый мтс не баян а классика 30 seconds to mars	943
@iRyuk80 @nnikiforov @Beeline_RUS @Beeline_Barnaul @Beeline_sib 1) Это конечно не скорости LTE 2) Когда Билайн запустит LTE в Томске?	0	билайн	билайн билайн билайн 1 ) это конечно не скорости lte 2 ) когда билайн запустит lte в томске ?	944
Смотри лучшие передачи на Discovery Channel с #ИнтерактивноеТВ #Ростелеком и участвуй в розыгрыше призов! Подробнее http://t.co/yonc8lhW0D	0	ростелеком	смотри лучшие передачи на discovery channel с ростелеком и участвуй в розыгрыше призов ! подробнее	945
Смотри лучшие передачи на Discovery Channel с #ИнтерактивноеТВ #Ростелеком и участвуй в розыгрыше призов! Подробнее http://t.co/23xrRvn4vb	0	ростелеком	смотри лучшие передачи на discovery channel с ростелеком и участвуй в розыгрыше призов ! подробнее	946
Смотри лучшие передачи на Discovery Channel с #ИнтерактивноеТВ #Ростелеком и участвуй в розыгрыше призов! Подробнее http://t.co/K2lzW4jz7g	0	ростелеком	смотри лучшие передачи на discovery channel с ростелеком и участвуй в розыгрыше призов ! подробнее	947
Смотри лучшие передачи на Discovery Channel с #ИнтерактивноеТВ #Ростелеком и участвуй в розыгрыше призов! Подробнее http://t.co/nAcsQ6QfAK	0	ростелеком	смотри лучшие передачи на discovery channel с ростелеком и участвуй в розыгрыше призов ! подробнее	948
вот мтс россия мне отвечает, а мтс украина нет. что за нахер??	-1	мтс	вот мтс россия мне отвечает , а мтс украина нет . что за нахер ??	949
@ru_mts добрый день,подскажите пожалуйста как можно блокировать нежелательные смс,есть у вас такой сервис? Как напр. В билайн н-р1888...	0	мтс	мтс добрый день , подскажите пожалуйста как можно блокировать нежелательные смс , есть у вас такой сервис ? как напр . в билайн н-р 1888 ...	950
@ru_mts добрый день,подскажите пожалуйста как можно блокировать нежелательные смс,есть у вас такой сервис? Как напр. В билайн н-р1888...	1	билайн	мтс добрый день , подскажите пожалуйста как можно блокировать нежелательные смс , есть у вас такой сервис ? как напр . в билайн н-р 1888 ...	951
"Компания ""Мобильные ТелеСистемы"" (МТС) объявила о запуске в коммерческую эксплуатацию сети ""четвертого поколения"" (4G) LTE в Нижегородской"	1	мтс	компания мтс мтс ) объявила о запуске в коммерческую эксплуатацию сети четвертого поколения ( 4 g ) lte в нижегородской	952
Сеть фитнес-клубов Alex Fitness и тамбовский «Ростелеком» попались на незаконной рассылке рекламы  http://t.co/j3iyGppMsR	-1	ростелеком	сеть фитнес-клубов alex fitness и тамбовский ростелеком попались на незаконной рассылке рекламы	953
МТС развернула сеть 4G в Нижегородской области http://t.co/s7GmRVaNsA #CNews	1	мтс	мтс развернула сеть 4 g в нижегородской области	954
@nemesida07 МТС ... У папы укр.МТС... Проблемы с дозвоном только ему :(	-1	мтс	мтс ... у папы мтс ... проблемы с дозвоном только ему :(	955
@LUGANSK_TODAY на мтс не проходит,  на киевстар в #Луганск звонок проходит.	-1	мтс	на мтс не проходит , на киевстар в звонок проходит .	956
програму для usb модема билайн http://t.co/Goci7HwUiU скачать	0	билайн	програму для usb модема билайн скачать	957
МТС предлагает бесплатный час в соцсетях http://t.co/ofvBVAK8KC	1	мтс	мтс предлагает бесплатный час в соцсетях	958
@iRyuk80 @nnikiforov @Beeline_RUS @Beeline_Barnaul @Beeline_sib хорошо у кого LTE!	0	билайн	билайн билайн билайн хорошо у кого lte !	959
Абоненты компании «Ростелеком&amp;quot; в&amp;nbsp;&amp;nbsp;Армении смогут отныне осуществлять платежи за услуги не только посредством мгновенных сист	0	ростелеком	абоненты компании ростелеком в amp nbsp amp nbsp армении смогут отныне осуществлять платежи за услуги не только посредством мгновенных сист	960
@iRyuk80 @nnikiforov @Beeline_RUS @Beeline_Barnaul @Beeline_sib круто, теперь 21 номер Фотоед можно всего за 3 минуты скачать)	1	билайн	билайн билайн билайн круто , теперь 21 номер фотоед можно всего за 3 минуты скачать )	961
Друг вокруг скачать на мтс: друг вокруг скачать на мтс http://t.co/tyaqapEjV6	0	мтс	друг вокруг скачать на мтс : друг вокруг скачать на мтс	962
Друг вокруг скачать на мтс: друг вокруг скачать на мтс http://t.co/pliov0mh8V	0	мтс	друг вокруг скачать на мтс : друг вокруг скачать на мтс	963
МТС возвращается в Узбекистан после двух лет отсутствия http://t.co/7f3A7bZkRL via @Vedomosti	1	мтс	мтс возвращается в узбекистан после двух лет отсутствия via	964
# Пункты выдачи заказов Ozon могут появиться в салонах МТС	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	965
Срочно нужен мегафон в Москве http://t.co/wzB27bfjhm	0	мегафон	срочно нужен мегафон в москве	966
«Ростелеком» продолжает внедрять технологию GPON в Прокопьевске | Прокопьевск.инфо http://t.co/x6xqM8u1pM	1	ростелеком	ростелеком продолжает внедрять технологию gpon в прокопьевске прокопьевск . инфо	967
Первую путевку на Олимпиаду в акции «МегаФона» получил житель Тольятти	0	мегафон	первую путевку на олимпиаду в акции мегафон получил житель тольятти	968
"ТОЛЬКО МТС.
НО И ТАМ ЩАС НЕ БУДЕТ."	0	мтс	только мтс . но и там щас не будет .	969
#СтаницаЛуганская, #Краснодон как у Вас обстоят дела с электричеством? #МТС не работает, а как с остальными источни.. http://t.co/OiKjnH1krN	-1	мтс	как у вас обстоят дела с электричеством ? мтс не работает , а как с остальными источни ..	970
скачать софт + для модема билайн http://t.co/k0v5oktVqD	0	билайн	скачать софт для модема билайн	971
Пункты выдачи заказов Ozon могут появиться в салонах МТС: Пункты выдачи заказов российского интернет-ритейлера... http://t.co/s4wAewuqs5	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс : пункты выдачи заказов российского интернет-ритейлера ...	972
смартфон билайн за 490 инструкция заказать http://t.co/J0xkKYuExq #смартфон	0	билайн	смартфон билайн за 490 инструкция заказать	973
Нет таких выгодных пакетов, ни нормальной скорости. Так что приеду - расцелую свой билайн)	-1	билайн	нет таких выгодных пакетов , ни нормальной скорости . так что приеду - расцелую свой билайн )	974
"«МегаФон» увеличивает выручку и прибыль
#Новости_IT#Hardware... http://t.co/MTsA1I3rkT"	1	мегафон	мегафон увеличивает выручку и прибыль мтс	975
@Perevalshchyna  и МТС и Киевстар - российские компании	0	мтс	и мтс и киевстар - российские компании	976
@touchmeyeah у меня билайн и такая же хрень	-1	билайн	у меня билайн и такая же хрень	977
«МегаФон» подготовил для гостей Дня города на Ореховом озере виртуальные гонки и релакс-зону	0	мегафон	мегафон подготовил для гостей дня города на ореховом озере виртуальные гонки и релакс-зону	978
RT @chaspikls: http://t.co/OuD73cPiyh МТС сообщает о связи на востоке Украины На сайте «МТС Украина» создан специальный раздел «СВЯЗЬ НА ВО…	0	мтс	мтс сообщает о связи на востоке украины на сайте мтс украина создан специальный раздел связь на во	979
«Вымпелком» &amp;#40;торговая марка «Билайн»&amp;#41; сообщил о внедрении в своей московской сети технологии Carrier Aggregation. Она является част	1	билайн	билайн amp марка билайн amp сообщил о внедрении в своей московской сети технологии carrier aggregation . она является част	980
@Beeline_RUS есть ли у вас на сайте подбор серебряных и золотых номеров? Или обязательно ехать в центральные офисы для подбора?	0	билайн	билайн есть ли у вас на сайте подбор серебряных и золотых номеров ? или обязательно ехать в центральные офисы для подбора ?	981
Брянск — Tele2 объявляет об улучшении качества связи в районном центре Почеп Брянской области. В результате мероприятий по расширению зоны	1	теледва	брянск теледва объявляет об улучшении качества связи в районном центре почеп брянской области . в результате мероприятий по расширению зоны	982
Пункты выдачи заказов Ozon могут появиться в салонах МТС: Пункты выдачи заказов российского интернет-ритейлера Ozon в скором будущем ...	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс : пункты выдачи заказов российского интернет-ритейлера ozon в скором будущем ...	983
Пункты выдачи заказов Ozon могут появиться в салонах МТС  #Hi_Tech	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	984
@Tele2Russia медленный интернет	-1	теледва	теледва медленный интернет	985
Заебался ждать, когда МТС починит мне роуминговый интернет и вставил местную симку в планшет. Буду разговаривать с планшета как дебил.	-1	мтс	заебался ждать , когда мтс починит мне роуминговый интернет и вставил местную симку в планшет . буду разговаривать с планшета как дебил .	986
Пункты выдачи заказов Ozon могут появиться в салонах МТС	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	987
Утром зашла в вк,получила уведомление,оказалось мою историю опубликовали в ОМТС. Счастья полные штаны. На весь день.. http://t.co/3fszMfFhX0	0	мтс	утром зашла в вк , получила уведомление , оказалось мою историю опубликовали в мтс . счастья полные штаны . на весь день ..	988
"Друзья, марафон ""Чемодан путешествий Tele2"" продолжится и в августе! У нас еще много разных прикольны.. http://t.co/vRLyiLZuUy"	0	теледва	друзья , марафон чемодан путешествий теледва продолжится и в августе ! у нас еще много разных прикольны ..	989
Пункты выдачи заказов Ozon могут появиться в салонах МТС http://t.co/Tqx4Dq4jh9	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	990
@MegaFon_CF_Help LTE , а скорость даже не измеряется :)	-1	мегафон	мегафон lte , а скорость даже не измеряется :)	991
#RT Пункты выдачи заказов Ozon могут появиться в салонах МТС http://t.co/jbFn3h7MHv #ЧитаюВзаимно	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	992
Вслед за &amp;quot;МегаФоном&amp;quot; новый приют для своих ... http://t.co/5mg1gZVmC5 #новости	0	мегафон	вслед за мегафон новый приют для своих ...	993
Пункты выдачи заказов Ozon могут появиться в салонах МТС http://t.co/vOb82JtYvT	0	мтс	пункты выдачи заказов ozon могут появиться в салонах мтс	994
"маме звонит папа. 
брату пишет его девушка. 
мне - мтс - я крутая.©"	0	мтс	маме звонит папа . брату пишет его девушка . мне - мтс - я крутая .	995
Я.Новости | Hi-Tech: Пункты выдачи заказов Ozon могут появиться в салонах МТС http://t.co/0od2kx36pp	0	мтс	я . новости hi-tech : пункты выдачи заказов ozon могут появиться в салонах мтс	996
&amp;quot;Мегафон&amp;quot; переведет 40% капитала в ...	0	мегафон	мегафон переведет 40 капитала в ...	997
"""Норникель"" и ""Мегафон"" перевели часть капитала в гонконгские доллары - http://t.co/74isqPt0FY"	0	мегафон	норникель и мегафон перевели часть капитала в гонконгские доллары -	998
@megafonru @MegaFonHelp господа,второй день не работает интернет на планшете.Тех.поддержка не отвечает. Может просветите?	-1	мегафон	мегафон мегафон господа , второй день не работает интернет на планшете . тех . поддержка не отвечает . может просветите ?	999
"""Билайн"" сделает мобильный видео-контент более доступным"	1	билайн	билайн сделает мобильный видео-контент более доступным	1000
МТС предлагает бизнес-абонентам безлимиты в «Смарт Офисе»: Новая линейка «Смарт Офис» включает в себя ряд тари... http://t.co/7RfxHNyu8D	1	мтс	мтс предлагает бизнес-абонентам безлимиты в смарт офисе : новая линейка смарт офис включает в себя ряд тари ...	1001
«Ростелеком» в Армении начал в Ереване эксплуатацию сети скоростью 40 Гб/с	1	ростелеком	ростелеком в армении начал в ереване эксплуатацию сети скоростью 40 гб с	1002
В Мурманской области прокуратура потребовала ограничить доступ к сайту. Поскольку Мурманский филиал ОАО «Ростелеком» должен предоставлять п	-1	ростелеком	в мурманской области прокуратура потребовала ограничить доступ к сайту . поскольку мурманский филиал оао ростелеком должен предоставлять п	1003
Tele2 Россия интегрировала ЗАО «Кодотел» в свою структуру	0	теледва	теледва россия интегрировала зао кодотел в свою структуру	1004
#Мегафон сегодня охохох	0	мегафон	мегафон сегодня охохох	1005
"""Ростелеком"" в Армении примет платежи через Интернет: Абоненты компании ""Ростелеком"" в Армении получили возмож... http://t.co/gtzvKiSFfc"	1	ростелеком	ростелеком в армении примет платежи через интернет : абоненты компании ростелеком в армении получили возмож ...	1006
Водный интерактив против СПАМа от Билайн http://t.co/MKBywc2UU9	-1	билайн	водный интерактив против спама от билайн	1007
Компания «МегаФон» ввела в эксплуатацию новые базовые станции в Махачкале	1	мегафон	компания мегафон ввела в эксплуатацию новые базовые станции в махачкале	1008
Друзья, у кого Ростелеком? У вас тоже не все сайты открывает #RT	-1	ростелеком	друзья , у кого ростелеком ? у вас тоже не все сайты открывает	1009
Друзья, у кого-нибудь ловит 4G Мегафон в Москве и области	-1	мегафон	друзья , у кого-нибудь ловит 4 g мегафон в москве и области	1010
@Beeline_RUS теперь спам шлют с обычных номеров (((	-1	билайн	билайн теперь спам шлют с обычных номеров ( ( (	1011
«Мегафон» и «Норникель» перевели средства в гонконгский доллар http://t.co/HvQMZ69pL9 @vzglyad @megafonru	0	мегафон	мегафон и норникель перевели средства в гонконгский доллар мегафон	1012
«МегаФон» расширяет сеть фирменных салонов в Свердловской области	1	мегафон	мегафон расширяет сеть фирменных салонов в свердловской области	1013
@MegaFonUralhelp добрый день, как запретить автоматически активировать обещанный платеж?	0	мегафон	мегафон добрый день , как запретить автоматически активировать обещанный платеж ?	1014
Финансовые показатели МегаФон за 2 квартал 2014 г. http://t.co/UqAo6X8pdL	0	мегафон	финансовые показатели мегафон за 2 квартал 2014 г .	1015
#компьютеры Ozon может открыть пункты выдачи товаров в салонах МТС #читаю #ru_ff	0	мтс	ozon может открыть пункты выдачи товаров в салонах мтс	1016
"Вслед за ""МегаФоном"" новый приют для своих денег нашли ""Норникель"" и ""Новатек"""	0	мегафон	вслед за мегафон новый приют для своих денег нашли норникель и новатек	1017
Ozon может открыть пункты выдачи товаров в салонах МТС http://t.co/TwPYbol72R #tech #russia	0	мтс	ozon может открыть пункты выдачи товаров в салонах мтс	1018
Ozon может открыть пункты выдачи товаров в салонах МТС: В пресс-службе МТС от комментариев отказались.... http://t.co/hatlo9LPiv #статьи	0	мтс	ozon может открыть пункты выдачи товаров в салонах мтс : в пресс-службе мтс от комментариев отказались ....	1019
кстати, спасибо мегафону за то что не разорил меня в роуменге))	1	мегафон	кстати , спасибо мегафон за то что не разорил меня в роуменге ) )	1020
"Вслед за ""МегаФоном"" новый приют для своих денег нашли ""Норникель"" и ""Новатек""

http://t.co/X7KUrPkj2K"	0	мегафон	вслед за мегафон новый приют для своих денег нашли норникель и новатек	1021
RT @MasakiKost: Я ЭТОГО ВСЮ ЖИЗНЬ ЖДАЛ! Мегафон ты отстой!!! 	-1	мегафон	я этого всю жизнь ждал ! мегафон ты отстой !!!	1022
СМИ: «Мегафон» и «Норникель» перевели в доллар (vz.ru) http://t.co/w1ECO8vfqZ	0	мегафон	сми : мегафон и норникель перевели в доллар ( vz . ru )	1023
МТС пытается вернуть на Луганщину связь, но не очень успешно http://t.co/NvvZHzAxa7	-1	мтс	мтс пытается вернуть на луганщину связь , но не очень успешно	1024
«Билайн» вновь делает смартфоны доступными http://t.co/P6AA9KjkNY #mobile_review	1	билайн	билайн вновь делает смартфоны доступными	1025
еду в МТС-банк, будь он не ладен) раз уж над Парижем я фанерой пролетела, надо быть Ланнистером. платить, мать их, долги))))	-1	мтс	еду в мтс -банк , будь он не ладен ) раз уж над парижем я фанерой пролетела , надо быть ланнистером . платить , мать их , долги ) ) ) )	1026
Клиенты «МегаФона» будут получать «Бонус за автоплатеж» до конца&amp;#8230;	1	мегафон	клиенты мегафон будут получать бонус за автоплатеж до конца amp	1027
"Tele2 открывает новый салон связи в Златоусте #Челябинск
http://t.co/ydlJpjabnk http://t.co/YiY5RG2wEq"	1	теледва	теледва открывает новый салон связи в златоусте	1028
Билайн такой быстрый,что оповещает в день окончания халявы http://t.co/KyskAQwjh4	-1	билайн	билайн такой быстрый , что оповещает в день окончания халявы	1029
О чудо! Мтс заработал местами  в тоннелях на таганско-краснопресненской.	1	мтс	о чудо ! мтс заработал местами в тоннелях на таганско-краснопресненской .	1030
Tele2 Вологда объявляет о старте интернет-аукциона по продаже золотых и платиновых номеров	0	теледва	теледва вологда объявляет о старте интернет-аукциона по продаже золотых и платиновых номеров	1031
. МТС может выплатить дивиденды в размере 6,2 рубля на акцию	0	мтс	. мтс может выплатить дивиденды в размере 6,2 рубля на акцию	1032
В МТС объяснили причины проблем со связью в Луганской области  ..	0	мтс	в мтс объяснили причины проблем со связью в луганской области ..	1033
"""Бесплатная настройка оборудования? Хм, а рояль мне настроите? :)"" Foursquare Tip @ Мегафон-Ритейл http://t.co/ljcrJszuwd"	1	мегафон	бесплатная настройка оборудования ? хм , а рояль мне настроите ? :) foursquare tip мегафон -ритейл	1034
RT @kumchyk: МТС вернется в Узбекистан после двухлетнего перерыва	1	мтс	мтс вернется в узбекистан после двухлетнего перерыва	1035
"RT @krislogvinen256: Компания ""МегаФон"" улучшила качество связи и мобильного интернета специально к началу Всероссийского фестиваля авторск…"	1	мегафон	компания мегафон улучшила качество связи и мобильного интернета специально к началу всероссийского фестиваля авторск	1036
@IARepyev меня МТС по связи полностью устраивает. Инет да, не особо конечно, но пока не хочется связываться с переносом номера	0	мтс	меня мтс по связи полностью устраивает . инет да , не особо конечно , но пока не хочется связываться с переносом номера	1037
«Ростелеком» обеспечит интернет-трансляцию выборов в единый день...	0	ростелеком	ростелеком обеспечит интернет-трансляцию выборов в единый день ...	1038
"""@norestfor: В #МТС объяснили причины проблем со связью в #Луганск’ой области: нету света и стреляют http://t.co/ovz2VqNa1D"""	-1	мтс	в мтс объяснили причины проблем со связью в области : нету света и стреляют	1039
МТС и Республика Узбекистан пошли на мировую	1	мтс	мтс и республика узбекистан пошли на мировую	1040
МТС может направить 12,8 млрд рублей на промежуточные дивиденды http://t.co/EGh05ZWiEX	0	мтс	мтс может направить 12,8 млрд рублей на промежуточные дивиденды	1041
мтс 975 детальная инструкция http://t.co/oEQLyPpKQs #детальная #мтс	0	мтс	мтс 975 детальная инструкция мтс	1042
@olesya_lapteva путём посещения офиса на Дерендяева, с 9го августа (надеюсь :) ) я на @megafonru  ! :)	1	мегафон	пут м посещения офиса на дерендяева , с 9 го августа ( надеюсь :) ) я на мегафон ! :)	1043
"Потому что когда разговор начинается с "" Здравствуйте, компания Ростелеком"" - Все либо бросают трубки или говорят мне ничего не надо..."	-1	ростелеком	потому что когда разговор начинается с здравствуйте , компания ростелеком - все либо бросают трубки или говорят мне ничего не надо ...	1044
Обещанный кредит теле2 омск http://t.co/CuEafXKwXK	0	теледва	обещанный кредит теледва омск	1045
В Москве появятся уличные экраны с информацией о пробках #Apple #Мегафон	0	мегафон	в москве появятся уличные экраны с информацией о пробках мегафон	1046
@aldidkovskaya и удивилась, зачем тебе ростовский мегафон	0	мегафон	и удивилась , зачем тебе ростовский мегафон	1047
RT @rioCoombes: «МегаФон» подготовился к нагрузкам в новогоднюю ночь	1	мегафон	мегафон подготовился к нагрузкам в новогоднюю ночь	1048
"""Ростелеком"" обеспечил ВГТРК услугой защиты от DDoS-атак"	1	ростелеком	ростелеком обеспечил вгтрк услугой защиты от ddos-атак	1049
Прости,МТС,у меня уже есть телефон :з	0	мтс	мтс , у меня уже есть телефон : з	1050
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ http://t.co/f2OkGZlryE"	1	мегафон	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	1051
"Контент-провайдеры обязаны согласовывать все новые сервисы с сотовыми операторами, следует из договоров между ними. ""Мегафон"" также запреща"	0	мегафон	контент-провайдеры обязаны согласовывать все новые сервисы с сотовыми операторами , следует из договоров между ними . мегафон также запреща	1052
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ http://t.co/f2OkGZlryE"	1	мтс	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	1053
RT @pressa71: «Билайн» превысило отметку в 10 миллионов #Тула #Туляк #Туларулит http://t.co/Iek5g2lGSX	1	билайн	билайн превысило отметку в 10 миллионов	1054
RT @pressa71: Лучше один раз увидеть: «Билайн» делает мобильный видео-контент еще доступней #Тула #Туляк #Туларулит http://t.co/xudPGJ3gd3	1	билайн	лучше один раз увидеть : билайн делает мобильный видео-контент еще доступней	1055
"@tezavr, опция ""МТС-Новости"" доступна на SIM-карте с момента первой регистрации в сети МТС. Способ отключения указан выше. ^КН #МТС"	0	мтс	опция мтс -новости доступна на sim-карте с момента первой регистрации в сети мтс . способ отключения указан выше . кн мтс	1056
RT @wylsacom: Идешь ты такой по магазину и тут фигакс. Но не свезло Крейгу, билайнсъ. http://t.co/S2t93wTOfL	-1	билайн	идешь ты такой по магазину и тут фигакс . но не свезло крейгу , билайн .	1057
@DavidVaysman @Nekaleks в МТС мне бесплатно обрезали симку, дошел сервис всё же)))	1	мтс	в мтс мне бесплатно обрезали симку , дошел сервис вс же ) ) )	1058
"Raiffeisenbank понизил рейтинг GDR Мегафона до ""держать"" и оценку на 6%"	-1	мегафон	raiffeisenbank понизил рейтинг gdr мегафон до держать и оценку на 6	1059
@ru_mts Ну попробуем: г Ростов-на-Дону улицы Мартовицкого, Плиева, Ольховский номера домов более 30. Отсутствие качественного соединения 3G.	-1	мтс	мтс ну попробуем : г ростов-на-дону улицы мартовицкого , плиева , ольховский номера домов более 30 . отсутствие качественного соединения 3 g .	1060
"Как МТС, ""Билайн"" и ""Мегафон"" защищают от мобильных мошенников. СЕКРЕТЫ http://t.co/f2OkGZlryE"	1	билайн	как мтс , билайн и мегафон защищают от мобильных мошенников . секреты	1061
"@ramin4ig, к сожалению, в любом call-центре бывают ""часы пик"", когда очень много клиентов пытаются одновременно дозвониться. ^КН #МТС"	-1	мтс	к сожалению , в любом call-центре бывают часы пик , когда очень много клиентов пытаются одновременно дозвониться . кн мтс	1062
«Билайн» вновь делает смартфоны доступными	1	билайн	билайн вновь делает смартфоны доступными	1063
"Пионером стал ""Ростелеком""."	0	ростелеком	пионером стал ростелеком .	1064
Мтс пермь настройки интернета http://t.co/0uQWd8C5is	0	мтс	мтс пермь настройки интернета	1065
мтс ,ты можешь прекратить выебываться?._.	-1	мтс	мтс , ты можешь прекратить выебываться ?. .	1066
"В Сибири утроился спрос на LTE-гаджеты.Компания ""Мобильные ТелеСистемы"" (МТС) сообщила о росте популярности мобильных гаджетов с поддержкой"	0	мтс	в сибири утроился спрос на lte-гаджеты . компания мтс мтс ) сообщила о росте популярности мобильных гаджетов с поддержкой	1067
Настройка сим карты мегафон http://t.co/hSQaa9RKAo	0	мегафон	настройка сим карты мегафон	1068
#Билайн - это голландская компания. Голландия - страна, раздувающая в Европе антироссийскую истерику. Vimpelcom еще и на деньги выставляет	-1	билайн	билайн - это голландская компания . голландия - страна , раздувающая в европе антироссийскую истерику . билайн еще и на деньги выставляет	1069
Финансовые результаты «МегаФона» соответствуют прогнозам компании http://t.co/DucNCcIY1F #tech #russia	1	мегафон	финансовые результаты мегафон соответствуют прогнозам компании	1070
"""@Beeline_RUS: Когда интернета под рукой нет, эти номера придут на помощь. Сохраните себе подсказку! http://t.co/UHdpNvQ045"""	0	билайн	билайн : когда интернета под рукой нет , эти номера придут на помощь . сохраните себе подсказку !	1071
«МегаФон» увеличил квартальную выручку #instagood	1	мегафон	мегафон увеличил квартальную выручку	1072
@fp777 Здравствуйте. Если у Вас возникнут вопросы, Вы сможете получить инфо, отправив sms на номер 0500 или по e-mail nw-service@megafon.ru	0	мегафон	здравствуйте . если у вас возникнут вопросы , вы сможете получить инфо , отправив sms на номер 0500 или по e-mail мегафон . ru	1073
Заказали обратный звонок #мтс. Так он сам не смог дозвониться.Ахахахахахаххахахахахахаха охохохохохохохо. Вот это ирония. Но вопрос не решен	-1	мтс	заказали обратный звонок мтс . так он сам не смог дозвониться . ахахахахахаххахахахахахаха охохохохохохохо . вот это ирония . но вопрос не решен	1074
Образец заявления о расторжении договора в Ростелеком http://t.co/H8dGSciIDp	0	ростелеком	образец заявления о расторжении договора в ростелеком	1075
@_hikaruru это реклама Ростелеком хд	0	ростелеком	это реклама ростелеком хд	1076
"У меня 2 номера телефона: МТС и Киевстар. Сейчас я чаще всего сижу на Киевстаре.

Leto^^"	-1	мтс	у меня 2 номера телефона : мтс и киевстар . сейчас я чаще всего сижу на киевстаре . leto	1077
